channel,clicks_by_channel,downloads_by_channel,download_ratio_by_channel
0,1642,127,0.07734470158343483
3,875627,362,0.0004134180421572199
4,862,74,0.08584686774941995
5,9657,5780,0.5985295640468055
13,115632,14,0.0001210737512107375
14,22,1,0.045454545454545456
15,5786,1,0.00017283097131005876
17,223098,42,0.00018825807492671383
18,55270,29,0.0005246969422833364
19,1282535,287,0.00022377556947763609
21,303235,42469,0.14005309413491188
22,15475,20,0.0012924071082390954
24,70455,12,0.00017032148179689163
29,6,0,0.0
30,187558,183,0.0009756981840284072
101,2147174,33176,0.015451006765171338
105,1219222,465,0.0003813907557442369
107,8457471,4262,0.0005039331497559968
108,7437,130,0.017480166733898076
110,247340,889,0.0035942427427832135
111,587097,139,0.00023675815069741456
113,474288,55866,0.11778919137739095
114,677,629,0.9290989660265879
115,1384504,196,0.00014156694382970363
116,559426,110,0.0001966301172988027
118,256882,151,0.0005878185314658092
120,131277,238,0.0018129603814834281
121,4692438,2055,0.00043793865790022157
122,2526161,1251,0.000495217842409886
123,171100,206,0.0012039742840444184
124,456876,91,0.00019917877060734204
125,1213178,75,6.182110127285526e-05
126,31252,43,0.0013759119416357354
127,924172,1041,0.001126413697883078
128,2703163,551,0.00020383528481264355
129,824,1,0.0012135922330097086
130,1412180,341,0.00024147063405514878
134,5924250,3524,0.0005948432291007301
135,2663913,332,0.00012462869470587066
137,2302316,699,0.0003036073241032074
138,45405,17,0.00037440810483426937
140,2562964,1172,0.00045728305196639517
142,2,0,0.0
145,3583945,5495,0.0015332266538688512
146,1,0,0.0
149,2,0,0.0
150,224491,45,0.00020045347029502296
153,5537977,765,0.00013813708507637355
160,51314,4,7.7951436255213e-05
162,12,1,0.08333333333333333
165,2,0,0.0
169,13,1,0.07692307692307693
171,32915,4004,0.12164666565395717
172,1,0,0.0
173,1428903,848,0.0005934622574100551
174,24058,5,0.00020783107490231938
178,5271408,627,0.00011894355360085957
181,134,37,0.27611940298507465
182,130573,100,0.0007658551155292442
203,12428,2926,0.23543611200514966
205,4359180,525,0.00012043549474901242
208,99944,43,0.00043024093492355717
210,51031,2687,0.05265426897376105
211,1034042,350,0.00033847754733366727
212,1221431,113,9.251443593620925e-05
213,785038,133070,0.16950771809772266
215,1479377,1579,0.00106734118483659
216,129,1,0.007751937984496124
217,1,0,0.0
219,2349454,1179,0.0005018187204346202
221,1,0,0.0
222,728,114,0.1565934065934066
223,118,1,0.00847457627118644
224,28672,868,0.0302734375
225,96,27,0.28125
227,1,0,0.0
232,2275338,1637,0.0007194535493188264
233,61,16,0.26229508196721313
234,683170,622,0.000910461524949866
236,1496987,433,0.0002892476688174313
237,2632794,606,0.00023017372418806788
238,9,0,0.0
242,234270,35,0.00014940026465189737
243,388347,4956,0.012761782632542545
244,1212843,2353,0.0019400697369733758
245,8873025,829,9.342924200033247e-05
248,14,0,0.0
251,14,4,0.2857142857142857
253,46360,91,0.0019628990509059532
256,13,0,0.0
258,1021296,590,0.0005776973570835488
259,5787004,2558,0.0004420249234318829
261,1579,51,0.03229892336922103
262,35604,11,0.0003089540501067296
265,5446388,732,0.00013440100117729402
266,993663,700,0.0007044641895693007
268,19619,2003,0.10209490799734951
272,1609,0,0.0
274,38472,25888,0.6729049698482013
277,145232,39,0.00026853585986559434
278,643287,147,0.00022851386706089196
280,15065927,4075,0.0002704778803189475
281,137,0,0.0
282,33356,6699,0.20083343326537953
311,2354,135,0.05734919286321156
315,1227791,264,0.00021502030883106327
317,674507,2047,0.003034809127258872
319,716411,1055,0.0014726183712980398
320,29256,1596,0.054552912223133715
322,50354,3,5.957818644000477e-05
325,359500,529,0.0014714881780250348
326,459066,42,9.149011253283841e-05
328,1830623,191,0.00010433606482601825
330,61697,1712,0.027748512893657713
332,9063,1294,0.14277832947147742
333,37862,9477,0.25030373461518146
334,1965114,2300,0.0011704155585884584
340,672238,62,9.222924023932e-05
341,7175,418,0.058257839721254354
343,426332,10272,0.024093898651754972
347,966958,19113,0.01976611186835416
349,1032265,270,0.0002615607426387604
352,145,11,0.07586206896551724
353,4680,12,0.002564102564102564
354,1,0,0.0
356,28350,2,7.054673721340387e-05
360,143524,109,0.0007594548646916195
361,96832,16,0.00016523463317911433
364,652141,10,1.5334107194609755e-05
371,593483,176,0.00029655440846662834
373,90067,151,0.001676529694560716
376,1012441,1418,0.0014005754409392745
377,1540492,3649,0.0023687237583836854
379,3402636,1141,0.00033532825726877635
386,898591,197,0.00021923210893498823
391,62000,46,0.0007419354838709677
394,1,0,0.0
400,749939,111,0.00014801203831244942
401,1383117,325,0.00023497650596442674
402,299087,351,0.00117357156947644
404,14379,0,0.0
406,152114,120,0.0007888820226935062
407,171,9,0.05263157894736842
408,694,661,0.952449567723343
409,1955086,484,0.0002475594423979303
410,4086,27,0.006607929515418502
411,44383,227,0.005114570894261317
412,640751,162,0.0002528283217661775
414,1849,386,0.20876149269875607
416,48512,15,0.00030920184696569923
417,381601,45,0.00011792421927615494
419,10371,6675,0.6436216372577379
420,6751,0,0.0
421,83672,303,0.003621283105459413
422,1,0,0.0
424,1541956,380,0.00024644023564874743
430,586674,193,0.0003289731605627657
434,1,0,0.0
435,2192870,667,0.0003041675977144108
439,2901762,1325,0.00045661911624730075
442,3574611,1280,0.00035808092125269017
445,923354,897,0.0009714584005700956
446,85381,15,0.00017568311451025403
448,54819,64,0.0011674784290118389
449,226597,244,0.0010768015463576304
450,38211,31,0.0008112847085917668
451,3322,422,0.12703190848886214
452,1769570,517,0.00029216137253683096
453,59797,399,0.006672575547268258
455,1468,0,0.0
456,7459,18,0.0024131921169057513
457,30920,66,0.0021345407503234153
458,16,1,0.0625
459,3477150,686,0.00019728800885782897
460,41192,621,0.015075742862691786
463,942776,230,0.00024396038931835345
465,3695,2606,0.705277401894452
466,2655396,2950,0.001110945410778656
467,326491,98,0.0003001614133314548
469,2588380,1133,0.0004377255271637086
470,1,0,0.0
471,20,0,0.0
473,5,0,0.0
474,2665,0,0.0
475,3,0,0.0
476,2,0,0.0
477,7188340,1212,0.00016860638200196429
478,565319,2223,0.003932293094695207
479,28736,1,3.479955456570156e-05
480,2618441,613,0.0002341087693020389
481,767949,503,0.0006549914121901325
483,6074,4,0.0006585446163977609
484,89447,6,6.70788288036491e-05
486,10789,9,0.0008341829641301325
487,358477,515,0.001436633312597461
488,14453,35,0.002421642565557324
489,2711240,1543,0.000569112288104336
490,50665,1,1.9737491364847527e-05
496,124424,25,0.00020092586639233588
497,467630,81,0.0001732138656630242
498,1140,72,0.06315789473684211
500,1,0,0.0
